Designator,Mid X,Mid Y,Rotation,Layer
C1,159.94,-88.14,180.0,top
C2,148.92,-84.73,0.0,top
C3,164.7,-89.98,180.0,top
C4,162.67,-99.67,0.0,top
D1,155.57,-91.31,180.0,top
IC1,163.79,-95.1,90.0,top
IC2,163.61,-87.3,180.0,top
IC3,147.78,-87.93,180.0,top
J1,155.77,-82.76,0.0,top
L1,151.11,-88.04,90.0,top
R1,163.56,-84.51,0.0,top
R2,152.97,-90.3,90.0,top
SW1,155.48,-97.77,0.0,top
U1,155.68,-92.46499,180.0,bottom
